150;30;4;
codigo;semestre;numero;nome;curso;CH;area
1;1;T1;Introdução à Computação;CC;68;0001
2;2;T1;Introdução à Computação;CC;68;0001
3;1;T1;Estruturas de Dados;CC+ES;68;0001
4;2;T1;Estruturas de Dados;CC+ES;68;0001
5;1;T1;Algoritmos e Programação I;CC;102;0001
6;2;T1;Algoritmos e Programação I;CC;102;0001
7;1;T1;Banco de Dados;SI+ES;68;0001
8;2;T1;Banco de Dados;SI+ES;68;0001
9;1;T1;Redes de Computadores;CC+ES;68;0010
10;2;T1;Redes de Computadores;CC+ES;68;0010
11;2;T1;Sistemas Operacionais;CC+EC;68;0100
12;1;T1;Sistemas Operacionais;CC+EC;68;0100
13;2;T1;Inteligência Artificial;CC+SI;68;0100
14;1;T1;Inteligência Artificial;CC+SI;68;0100
15;2;T1;Engenharia de Software;CC+ES;102;1000
16;1;T1;Engenharia de Software;CC+ES;102;1000
17;2;T1;Computação Gráfica;CC+EC;68;0100
18;1;T1;Computação Gráfica;CC+EC;68;0100
19;2;T1;Compiladores;CC;68;0100
20;1;T1;Compiladores;CC;68;0100
21;1;T1;Teoria da Computação;CC+ES;68;0010
22;2;T1;Teoria da Computação;CC+ES;68;0010
23;1;T1;Sistemas Distribuídos;SI;102;0100
24;2;T1;Sistemas Distribuídos;SI;102;0100
25;1;T1;Desenvolvimento Web;CC+EC;68;1000
26;2;T1;Desenvolvimento Web;CC+EC;68;1000
27;2;T1;Interação Humano-Computador;CC+ES;68;0010
28;1;T1;Interação Humano-Computador;CC+ES;68;0010
29;2;T1;Inteligência Artificial Avançada;CC+ES;102;1000
30;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
31;1;T1;Redes Avançadas;CC+ES;68;0001
32;2;T1;Redes Avançadas;CC+ES;68;0001
33;1;T1;Segurança de Sistemas;SI;102;0100
34;2;T1;Segurança de Sistemas;SI;102;0100
35;1;T1;Computação em Nuvem;CC+ES;68;1000
36;2;T1;Computação em Nuvem;CC+ES;68;1000
37;1;T1;Empreendedorismo em TI;CC+EC;68;1000
38;2;T1;Empreendedorismo em TI;CC+EC;68;1000
39;1;T1;Bioinformática;CC+ES;68;0010
40;2;T1;Bioinformática;CC+ES;68;0010
41;1;T1;Redes de Computadores;CC+ES;68;0010
42;1;T2;Redes de Computadores;CC+ES;68;0010
43;1;T1;Engenharia de Software;CC+ES;102;1000
44;1;T3;Redes de Computadores;CC+ES;68;0010
45;1;T1;Desenvolvimento Web;CC+EC;68;1000
46;1;T1;Algoritmos e Programação I;CC;102;0001
47;1;T2;Algoritmos e Programação I;CC;102;0001
48;1;T1;Inteligência Artificial;CC+SI;68;0100
49;1;T1;Segurança de Sistemas;SI;102;0100
50;1;T2;Segurança de Sistemas;SI;102;0100
51;1;T1;Estruturas de Dados;CC+ES;68;0001
52;1;T3;Algoritmos e Programação I;CC;102;0001
53;1;T1;Sistemas Operacionais;CC+EC;68;0100
54;1;T2;Engenharia de Software;CC+ES;102;1000
55;1;T1;Computação em Nuvem;CC+ES;68;1000
56;1;T1;Bioinformática;CC+ES;68;0010
57;1;T1;Banco de Dados;SI+ES;68;0001
58;1;T2;Banco de Dados;SI+ES;68;0001
59;1;T3;Engenharia de Software;CC+ES;102;1000
60;1;T4;Redes de Computadores;CC+ES;68;0010
61;1;T2;Desenvolvimento Web;CC+EC;68;1000
62;1;T2;Bioinformática;CC+ES;68;0010
63;1;T3;Segurança de Sistemas;SI;102;0100
64;1;T1;Redes Avançadas;CC+ES;68;0001
65;1;T1;Computação Gráfica;CC+EC;68;0100
66;2;T1;Teoria da Computação;CC+ES;68;0010
67;2;T4;Engenharia de Software;CC+ES;102;1000
68;2;T3;Bioinformática;CC+ES;68;0010
69;2;T3;Banco de Dados;SI+ES;68;0001
70;2;T1;Interação Humano-Computador;CC+ES;68;0010
71;2;T5;Engenharia de Software;CC+ES;102;1000
72;2;T2;Computação em Nuvem;CC+ES;68;1000
73;2;T2;Redes Avançadas;CC+ES;68;0001
74;2;T2;Teoria da Computação;CC+ES;68;0010
75;2;T4;Segurança de Sistemas;SI;102;0100
76;2;T4;Bioinformática;CC+ES;68;0010
77;2;T1;Sistemas Distribuídos;SI;102;0100
78;2;T4;Algoritmos e Programação I;CC;102;0001
79;2;T5;Algoritmos e Programação I;CC;102;0001
80;2;T2;Estruturas de Dados;CC+ES;68;0001
81;2;T5;Segurança de Sistemas;SI;102;0100
82;2;T3;Desenvolvimento Web;CC+EC;68;1000
83;2;T6;Segurança de Sistemas;SI;102;0100
84;2;T1;Compiladores;CC;68;0100
85;2;T3;Computação em Nuvem;CC+ES;68;1000
86;2;T5;Bioinformática;CC+ES;68;0010
87;2;T2;Interação Humano-Computador;CC+ES;68;0010
88;2;T1;Inteligência Artificial Avançada;CC+ES;102;1000
89;2;T2;Sistemas Distribuídos;SI;102;0100
90;2;T3;Teoria da Computação;CC+ES;68;0010
91;1;T7;Segurança de Sistemas;SI;102;0100
92;2;T6;Bioinformática;CC+ES;68;0010
93;2;T2;Sistemas Operacionais;CC+EC;68;0100
94;2;T5;Redes de Computadores;CC+ES;68;0010
95;2;T4;Desenvolvimento Web;CC+EC;68;1000
96;2;T2;Inteligência Artificial;CC+SI;68;0100
97;1;T4;Banco de Dados;SI+ES;68;0001
98;2;T1;Empreendedorismo em TI;CC+EC;68;1000
99;2;T2;Inteligência Artificial Avançada;CC+ES;102;1000
100;2;T6;Engenharia de Software;CC+ES;102;1000
101;2;T3;Inteligência Artificial Avançada;CC+ES;102;1000
102;2;T3;Estruturas de Dados;CC+ES;68;0001
103;2;T3;Sistemas Operacionais;CC+EC;68;0100
104;2;T4;Sistemas Operacionais;CC+EC;68;0100
105;2;T8;Segurança de Sistemas;SI;102;0100
106;1;T3;Interação Humano-Computador;CC+ES;68;0010
107;2;T4;Interação Humano-Computador;CC+ES;68;0010
108;1;T7;Bioinformática;CC+ES;68;0010
109;1;T4;Computação em Nuvem;CC+ES;68;1000
110;2;T3;Inteligência Artificial;CC+SI;68;0100
111;1;T9;Segurança de Sistemas;SI;102;0100
112;1;T5;Computação em Nuvem;CC+ES;68;1000
113;2;T6;Redes de Computadores;CC+ES;68;0010
114;2;T6;Algoritmos e Programação I;CC;102;0001
115;2;T10;Segurança de Sistemas;SI;102;0100
116;2;T4;Inteligência Artificial;CC+SI;68;0100
117;2;T4;Estruturas de Dados;CC+ES;68;0001
118;1;T4;Teoria da Computação;CC+ES;68;0010
119;2;T5;Desenvolvimento Web;CC+EC;68;1000
120;1;T5;Inteligência Artificial;CC+SI;68;0100
121;1;T7;Redes de Computadores;CC+ES;68;0010
122;2;T8;Bioinformática;CC+ES;68;0010
123;2;T2;Empreendedorismo em TI;CC+EC;68;1000
124;2;T6;Inteligência Artificial;CC+SI;68;0100
125;1;T6;Desenvolvimento Web;CC+EC;68;1000
126;1;T4;Inteligência Artificial Avançada;CC+ES;102;1000
127;1;T8;Redes de Computadores;CC+ES;68;0010
128;2;T3;Sistemas Distribuídos;SI;102;0100
129;2;T6;Computação em Nuvem;CC+ES;68;1000
130;1;T3;Empreendedorismo em TI;CC+EC;68;1000
131;1;T3;Redes Avançadas;CC+ES;68;0001
132;1;T2;Compiladores;CC;68;0100
133;1;T7;Inteligência Artificial;CC+SI;68;0100
134;1;T1;Introdução à Computação;CC;68;0001
135;1;T7;Computação em Nuvem;CC+ES;68;1000
136;1;T7;Desenvolvimento Web;CC+EC;68;1000
137;1;T3;Compiladores;CC;68;0100
138;2;T8;Computação em Nuvem;CC+ES;68;1000
139;2;T5;Inteligência Artificial Avançada;CC+ES;102;1000
140;2;T4;Empreendedorismo em TI;CC+EC;68;1000
141;1;T5;Banco de Dados;SI+ES;68;0001
142;1;T4;Compiladores;CC;68;0100
143;1;T5;Estruturas de Dados;CC+ES;68;0001
144;1;T8;Desenvolvimento Web;CC+EC;68;1000
145;2;T6;Banco de Dados;SI+ES;68;0001
146;1;T7;Banco de Dados;SI+ES;68;0001
147;1;T4;Redes Avançadas;CC+ES;68;0001
148;2;T4;Sistemas Distribuídos;SI;102;0100
149;2;T9;Desenvolvimento Web;CC+EC;68;1000
150;2;T9;Computação em Nuvem;CC+ES;68;1000

nome;CHmin1;CHmax1;CHmax2;preferencias;areas
Antonio Silva;150;260;250;41;0011;
8;9;
9;6;
15;1;
21;6;
25;9;
30;9;
31;2;
37;5;
40;1;
41;7;
42;1;
43;2;
44;6;
52;5;
54;5;
58;2;
60;2;
61;7;
62;7;
74;8;
76;2;
78;9;
87;10;
88;5;
90;6;
92;10;
100;10;
107;6;
109;10;
112;1;
114;9;
125;8;
126;9;
127;9;
134;4;
135;9;
136;9;
138;5;
141;5;
144;10;
145;3;
Maria Oliveira;90;230;220;51;0101;
1;1;
3;1;
6;3;
7;6;
8;7;
20;2;
23;8;
24;6;
25;10;
31;9;
32;7;
33;2;
35;1;
36;8;
46;8;
48;10;
52;3;
58;3;
61;2;
69;4;
71;5;
72;2;
75;6;
79;3;
81;3;
85;9;
88;8;
96;6;
97;7;
99;5;
103;5;
104;9;
111;5;
114;9;
119;6;
120;1;
124;2;
125;5;
126;8;
128;2;
129;3;
130;4;
131;5;
132;3;
135;3;
138;4;
140;5;
141;7;
142;7;
146;6;
147;1;
Carlos Ferreira;95;210;200;44;1100;
9;10;
11;9;
12;1;
16;4;
19;6;
20;1;
21;9;
29;6;
35;10;
36;4;
53;10;
54;8;
56;2;
59;4;
68;1;
71;3;
72;10;
81;1;
82;8;
87;3;
93;6;
94;8;
95;1;
99;2;
101;3;
104;3;
106;4;
111;6;
112;7;
113;9;
116;7;
120;9;
121;8;
122;7;
124;2;
125;3;
126;9;
129;10;
130;8;
135;9;
137;5;
138;10;
142;8;
144;8;
Laura Mendes;155;250;240;56;1001;
7;5;
8;3;
10;4;
15;8;
16;8;
18;8;
19;8;
20;1;
21;8;
24;7;
25;10;
28;1;
35;6;
36;4;
39;9;
42;7;
43;3;
45;1;
48;7;
50;10;
51;8;
57;6;
59;10;
69;7;
70;7;
73;4;
74;7;
78;6;
81;1;
84;10;
89;8;
90;7;
91;3;
95;4;
96;6;
98;2;
101;1;
105;5;
106;2;
107;10;
114;2;
116;4;
122;3;
124;9;
126;7;
128;1;
129;6;
133;9;
135;3;
136;2;
138;9;
139;3;
140;10;
141;8;
148;9;
149;6;
André Santos;110;220;210;33;0010;
10;2;
15;7;
16;9;
22;9;
25;8;
28;6;
35;1;
36;10;
38;3;
39;6;
41;1;
42;6;
54;6;
59;9;
62;2;
67;9;
68;7;
70;10;
72;10;
74;1;
87;4;
90;3;
92;6;
95;1;
106;4;
107;4;
113;3;
123;2;
126;6;
127;1;
129;3;
130;8;
139;9;
Ana Rodrigues;105;270;260;62;0111;
1;3;
5;3;
6;2;
7;1;
9;2;
10;8;
12;9;
14;2;
15;9;
20;1;
24;8;
26;6;
27;4;
29;3;
30;9;
33;7;
34;1;
36;5;
38;10;
39;7;
41;8;
43;3;
44;4;
45;6;
51;4;
56;3;
60;9;
61;6;
68;4;
71;5;
72;10;
74;7;
75;9;
78;3;
81;9;
83;2;
86;10;
89;9;
93;3;
95;1;
99;10;
100;1;
102;8;
104;3;
105;3;
110;6;
113;10;
117;3;
118;3;
119;1;
120;10;
121;10;
122;4;
124;5;
127;7;
134;9;
135;9;
141;7;
145;4;
147;3;
148;1;
149;5;
Pedro Almeida;115;290;280;62;1011;
2;6;
5;3;
6;9;
8;6;
10;10;
18;3;
19;8;
21;1;
23;9;
29;1;
31;7;
32;3;
35;3;
37;5;
39;1;
41;2;
42;10;
44;4;
45;7;
46;6;
47;9;
50;1;
51;5;
53;7;
54;3;
56;7;
60;1;
63;1;
66;2;
69;2;
73;8;
76;8;
77;4;
81;6;
82;5;
85;4;
88;8;
89;3;
90;6;
91;9;
92;5;
93;4;
94;3;
95;7;
102;8;
103;3;
107;9;
108;8;
110;7;
113;7;
115;5;
121;5;
123;7;
124;1;
126;1;
127;1;
131;7;
135;3;
140;4;
145;1;
146;4;
149;1;
Fernanda Pereira;95;240;230;43;0101;
2;5;
3;8;
4;6;
5;1;
12;4;
17;7;
18;4;
31;5;
35;6;
36;10;
37;1;
38;8;
46;9;
49;9;
50;2;
52;7;
53;3;
54;8;
59;1;
61;3;
65;10;
67;1;
69;10;
78;9;
80;9;
93;10;
96;4;
97;1;
100;9;
101;4;
102;8;
111;3;
116;3;
124;5;
128;3;
131;6;
133;1;
137;9;
142;2;
143;6;
146;8;
148;2;
149;5;
Ricardo Gomes;110;310;300;47;1010;
9;2;
10;8;
11;8;
15;1;
19;1;
22;5;
23;6;
28;7;
30;8;
34;6;
37;6;
38;6;
40;2;
41;4;
42;10;
43;1;
59;9;
61;6;
62;8;
67;3;
77;10;
81;1;
82;2;
83;2;
86;6;
88;2;
89;1;
93;3;
98;1;
103;8;
108;7;
109;3;
110;5;
111;4;
113;5;
116;8;
124;10;
128;2;
129;4;
130;7;
136;9;
137;1;
138;4;
140;2;
144;4;
148;3;
149;5;
André Rodrigues;110;220;210;28;0010;
9;10;
