50;10;4;
codigo;semestre;numero;nome;curso;CH;area
1;1;T1;Introdução à Computação;CC;68;0001
2;2;T1;Introdução à Computação;CC;68;0001
3;1;T1;Estruturas de Dados;CC+ES;68;0001
4;2;T1;Estruturas de Dados;CC+ES;68;0001
5;1;T1;Algoritmos e Programação I;CC;102;0001
6;2;T1;Algoritmos e Programação I;CC;102;0001
7;1;T1;Banco de Dados;SI+ES;68;0001
8;2;T1;Banco de Dados;SI+ES;68;0001
9;1;T1;Redes de Computadores;CC+ES;68;0010
10;2;T1;Redes de Computadores;CC+ES;68;0010
11;2;T1;Sistemas Operacionais;CC+EC;68;0100
12;1;T1;Sistemas Operacionais;CC+EC;68;0100
13;2;T1;Inteligência Artificial;CC+SI;68;0100
14;1;T1;Inteligência Artificial;CC+SI;68;0100
15;2;T1;Engenharia de Software;CC+ES;102;1000
16;1;T1;Engenharia de Software;CC+ES;102;1000
17;2;T1;Computação Gráfica;CC+EC;68;0100
18;1;T1;Computação Gráfica;CC+EC;68;0100
19;2;T1;Compiladores;CC;68;0100
20;1;T1;Compiladores;CC;68;0100
21;1;T1;Teoria da Computação;CC+ES;68;0010
22;2;T1;Teoria da Computação;CC+ES;68;0010
23;1;T1;Sistemas Distribuídos;SI;102;0100
24;2;T1;Sistemas Distribuídos;SI;102;0100
25;1;T1;Desenvolvimento Web;CC+EC;68;1000
26;2;T1;Desenvolvimento Web;CC+EC;68;1000
27;2;T1;Interação Humano-Computador;CC+ES;68;0010
28;1;T1;Interação Humano-Computador;CC+ES;68;0010
29;2;T1;Inteligência Artificial Avançada;CC+ES;102;1000
30;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
31;1;T1;Redes Avançadas;CC+ES;68;0001
32;2;T1;Redes Avançadas;CC+ES;68;0001
33;1;T1;Segurança de Sistemas;SI;102;0100
34;2;T1;Segurança de Sistemas;SI;102;0100
35;1;T1;Computação em Nuvem;CC+ES;68;1000
36;2;T1;Computação em Nuvem;CC+ES;68;1000
37;1;T1;Empreendedorismo em TI;CC+EC;68;1000
38;2;T1;Empreendedorismo em TI;CC+EC;68;1000
39;1;T1;Bioinformática;CC+ES;68;0010
40;2;T1;Bioinformática;CC+ES;68;0010
41;2;T1;Sistemas Distribuídos;SI;102;0100
42;1;T1;Engenharia de Software;CC+ES;102;1000
43;1;T1;Introdução à Computação;CC;68;0001
44;2;T1;Segurança de Sistemas;SI;102;0100
45;1;T1;Redes Avançadas;CC+ES;68;0001
46;1;T1;Algoritmos e Programação I;CC;102;0001
47;2;T2;Algoritmos e Programação I;CC;102;0001
48;1;T1;Computação em Nuvem;CC+ES;68;1000
49;2;T1;Redes de Computadores;CC+ES;68;0010
50;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000

nome;CHmin1;CHmax1;CHmax2;preferencias;areas
Antonio Silva;150;260;250;2;0011;
43;10;
49;6;
Maria Oliveira;90;230;220;3;0101;
23;6;
41;3;
45;3;
Carlos Ferreira;95;210;200;3;1100;
10;2;
17;1;
27;9;
Laura Mendes;155;250;240;3;1001;
3;7;
15;3;
43;9;
André Santos;110;220;210;5;0010;
9;5;
35;5;
36;10;
40;4;
49;8;
Ana Rodrigues;105;270;260;1;0101;
30;9;
Pedro Almeida;115;290;280;4;0011;
9;4;
30;4;
31;8;
42;8;
Fernanda Pereira;95;240;230;4;0101;
4;1;
19;8;
20;1;
32;10;
Ricardo Gomes;110;310;300;1;1010;
42;1;
Carla Lima;90;450;440;2;0100;
17;1;
50;4;
