100;20;4;
codigo;semestre;numero;nome;curso;CH;area
1;1;T1;Introdução à Computação;CC;68;0001
2;2;T1;Introdução à Computação;CC;68;0001
3;1;T1;Estruturas de Dados;CC+ES;68;0001
4;2;T1;Estruturas de Dados;CC+ES;68;0001
5;1;T1;Algoritmos e Programação I;CC;102;0001
6;2;T1;Algoritmos e Programação I;CC;102;0001
7;1;T1;Banco de Dados;SI+ES;68;0001
8;2;T1;Banco de Dados;SI+ES;68;0001
9;1;T1;Redes de Computadores;CC+ES;68;0010
10;2;T1;Redes de Computadores;CC+ES;68;0010
11;2;T1;Sistemas Operacionais;CC+EC;68;0100
12;1;T1;Sistemas Operacionais;CC+EC;68;0100
13;2;T1;Inteligência Artificial;CC+SI;68;0100
14;1;T1;Inteligência Artificial;CC+SI;68;0100
15;2;T1;Engenharia de Software;CC+ES;102;1000
16;1;T1;Engenharia de Software;CC+ES;102;1000
17;2;T1;Computação Gráfica;CC+EC;68;0100
18;1;T1;Computação Gráfica;CC+EC;68;0100
19;2;T1;Compiladores;CC;68;0100
20;1;T1;Compiladores;CC;68;0100
21;1;T1;Teoria da Computação;CC+ES;68;0010
22;2;T1;Teoria da Computação;CC+ES;68;0010
23;1;T1;Sistemas Distribuídos;SI;102;0100
24;2;T1;Sistemas Distribuídos;SI;102;0100
25;1;T1;Desenvolvimento Web;CC+EC;68;1000
26;2;T1;Desenvolvimento Web;CC+EC;68;1000
27;2;T1;Interação Humano-Computador;CC+ES;68;0010
28;1;T1;Interação Humano-Computador;CC+ES;68;0010
29;2;T1;Inteligência Artificial Avançada;CC+ES;102;1000
30;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
31;1;T1;Redes Avançadas;CC+ES;68;0001
32;2;T1;Redes Avançadas;CC+ES;68;0001
33;1;T1;Segurança de Sistemas;SI;102;0100
34;2;T1;Segurança de Sistemas;SI;102;0100
35;1;T1;Computação em Nuvem;CC+ES;68;1000
36;2;T1;Computação em Nuvem;CC+ES;68;1000
37;1;T1;Empreendedorismo em TI;CC+EC;68;1000
38;2;T1;Empreendedorismo em TI;CC+EC;68;1000
39;1;T1;Bioinformática;CC+ES;68;0010
40;2;T1;Bioinformática;CC+ES;68;0010
41;1;T1;Sistemas Operacionais;CC+EC;68;0100
42;1;T1;Inteligência Artificial;CC+SI;68;0100
43;1;T1;Inteligência Artificial Avançada;CC+ES;102;1000
44;1;T1;Redes Avançadas;CC+ES;68;0001
45;1;T2;Redes Avançadas;CC+ES;68;0001
46;1;T1;Algoritmos e Programação I;CC;102;0001
47;1;T1;Estruturas de Dados;CC+ES;68;0001
48;1;T2;Algoritmos e Programação I;CC;102;0001
49;1;T3;Redes Avançadas;CC+ES;68;0001
50;1;T3;Algoritmos e Programação I;CC;102;0001
51;2;T1;Sistemas Distribuídos;SI;102;0100
52;2;T1;Desenvolvimento Web;CC+EC;68;1000
53;2;T1;Compiladores;CC;68;0100
54;2;T4;Algoritmos e Programação I;CC;102;0001
55;2;T2;Inteligência Artificial;CC+SI;68;0100
56;2;T2;Desenvolvimento Web;CC+EC;68;1000
57;2;T1;Computação Gráfica;CC+EC;68;0100
58;2;T1;Banco de Dados;SI+ES;68;0001
59;2;T1;Introdução à Computação;CC;68;0001
60;2;T2;Inteligência Artificial Avançada;CC+ES;102;1000
61;1;T2;Banco de Dados;SI+ES;68;0001
62;2;T3;Inteligência Artificial Avançada;CC+ES;102;1000
63;2;T4;Inteligência Artificial Avançada;CC+ES;102;1000
64;2;T2;Computação Gráfica;CC+EC;68;0100
65;1;T1;Bioinformática;CC+ES;68;0010
66;1;T5;Algoritmos e Programação I;CC;102;0001
67;2;T2;Compiladores;CC;68;0100
68;2;T2;Introdução à Computação;CC;68;0001
69;1;T3;Introdução à Computação;CC;68;0001
70;1;T2;Sistemas Distribuídos;SI;102;0100
71;2;T1;Engenharia de Software;CC+ES;102;1000
72;1;T4;Redes Avançadas;CC+ES;68;0001
73;2;T3;Computação Gráfica;CC+EC;68;0100
74;1;T1;Empreendedorismo em TI;CC+EC;68;1000
75;1;T1;Computação em Nuvem;CC+ES;68;1000
76;2;T4;Introdução à Computação;CC;68;0001
77;2;T3;Sistemas Distribuídos;SI;102;0100
78;1;T3;Desenvolvimento Web;CC+EC;68;1000
79;1;T5;Introdução à Computação;CC;68;0001
80;2;T5;Inteligência Artificial Avançada;CC+ES;102;1000
81;2;T2;Computação em Nuvem;CC+ES;68;1000
82;2;T1;Segurança de Sistemas;SI;102;0100
83;2;T5;Redes Avançadas;CC+ES;68;0001
84;2;T2;Sistemas Operacionais;CC+EC;68;0100
85;1;T2;Segurança de Sistemas;SI;102;0100
86;2;T2;Estruturas de Dados;CC+ES;68;0001
87;1;T6;Algoritmos e Programação I;CC;102;0001
88;2;T4;Computação Gráfica;CC+EC;68;0100
89;2;T3;Computação em Nuvem;CC+ES;68;1000
90;2;T4;Sistemas Distribuídos;SI;102;0100
91;1;T3;Banco de Dados;SI+ES;68;0001
92;2;T5;Sistemas Distribuídos;SI;102;0100
93;1;T3;Segurança de Sistemas;SI;102;0100
94;2;T3;Inteligência Artificial;CC+SI;68;0100
95;1;T6;Sistemas Distribuídos;SI;102;0100
96;2;T6;Redes Avançadas;CC+ES;68;0001
97;2;T6;Introdução à Computação;CC;68;0001
98;2;T7;Sistemas Distribuídos;SI;102;0100
99;2;T1;Redes de Computadores;CC+ES;68;0010
100;1;T3;Compiladores;CC;68;0100

nome;CHmin1;CHmax1;CHmin2;CHmax2;preferencias;areas
Antonio Silva;80;260;70;250;9;0001;
6;2;
31;4;
44;7;
46;9;
47;8;
50;9;
69;6;
76;6;
97;1;
Maria Oliveira;50;230;40;220;21;0100;
11;6;
13;2;
14;8;
15;7;
19;9;
29;1;
35;6;
38;1;
43;6;
51;8;
52;7;
56;10;
60;1;
64;5;
70;2;
74;2;
78;2;
80;2;
82;1;
88;4;
95;5;
Carlos Ferreira;50;210;45;200;25;1000;
12;5;
17;8;
19;9;
21;9;
29;4;
30;4;
34;4;
35;8;
40;9;
41;9;
42;6;
51;8;
62;5;
64;9;
67;10;
75;8;
80;6;
81;4;
82;8;
84;3;
85;5;
89;1;
90;8;
95;8;
99;5;
Laura Mendes;80;250;75;240;16;0010;
9;5;
26;10;
27;9;
28;10;
35;3;
36;3;
43;3;
52;5;
60;2;
62;1;
63;3;
65;9;
71;8;
74;10;
80;1;
81;5;
André Santos;50;220;60;210;10;0010;
10;4;
15;9;
22;1;
29;6;
36;3;
37;8;
38;5;
63;8;
65;8;
81;10;
Ana Rodrigues;50;270;55;260;22;0100;
12;10;
14;3;
16;6;
18;10;
19;1;
23;6;
24;7;
36;4;
37;8;
38;2;
42;8;
56;4;
57;7;
62;1;
70;7;
73;9;
75;4;
77;1;
92;10;
94;6;
98;2;
100;1;
Pedro Almeida;50;290;65;280;17;0010;
9;1;
10;6;
16;5;
22;8;
27;1;
30;5;
35;9;
40;5;
43;9;
52;8;
56;9;
60;3;
71;3;
75;2;
80;8;
81;8;
99;6;
Fernanda Pereira;50;240;45;230;20;0100;
17;6;
24;4;
29;3;
33;8;
34;6;
37;1;
38;1;
41;5;
51;9;
55;6;
60;1;
62;6;
63;1;
67;3;
75;9;
80;5;
81;2;
90;3;
92;1;
98;10;
Ricardo Gomes;50;310;60;300;10;0001;
6;9;
7;2;
8;6;
32;1;
49;6;
50;4;
59;3;
61;7;
86;2;
87;10;
Carla Lima;50;250;40;240;19;1000;
9;2;
12;5;
15;10;
26;3;
27;2;
33;9;
34;4;
38;8;
39;5;
41;2;
42;5;
43;4;
60;2;
67;6;
71;8;
73;1;
81;3;
88;6;
90;8;
João Silva;80;260;70;250;14;0001;
1;8;
2;7;
5;1;
6;8;
47;5;
49;9;
58;8;
68;10;
69;8;
72;5;
86;6;
91;3;
96;9;
97;4;
Mariana Oliveira;50;230;40;220;12;0010;
29;6;
36;4;
38;2;
39;6;
40;6;
43;10;
56;9;
60;5;
71;2;
74;3;
80;7;
81;1;
Carlos Souza;50;210;45;200;22;1000;
12;2;
14;3;
15;1;
17;4;
18;3;
21;8;
23;1;
24;1;
30;2;
33;4;
36;4;
37;2;
38;10;
55;2;
60;6;
62;6;
63;2;
77;1;
81;5;
85;7;
92;5;
95;4;
Luiza Mendes;80;250;75;240;9;0001;
4;7;
7;7;
32;2;
44;1;
45;8;
72;5;
76;6;
86;3;
87;9;
André Lima;50;220;60;210;25;0100;
11;5;
13;2;
18;5;
24;1;
25;2;
26;3;
29;6;
30;8;
33;3;
34;8;
35;9;
38;4;
42;2;
51;1;
52;5;
53;9;
55;8;
56;9;
57;6;
62;6;
64;3;
70;9;
71;3;
89;7;
93;5;
Antonia Silva;80;260;70;250;10;0001;
4;10;
7;10;
45;7;
47;3;
50;3;
61;8;
68;1;
72;8;
79;1;
96;2;
Mario Oliveira;50;230;40;220;8;0010;
9;1;
16;9;
25;5;
30;10;
39;9;
40;9;
52;6;
89;1;
Carla Ferreira;50;210;45;200;21;0100;
12;5;
13;8;
14;9;
16;6;
17;8;
23;6;
25;4;
41;1;
43;3;
51;5;
52;4;
55;1;
64;4;
71;6;
73;9;
74;7;
78;6;
85;5;
89;3;
92;10;
98;5;
Lara Mendes;80;250;75;240;10;0001;
32;6;
46;2;
47;6;
49;7;
50;5;
58;7;
66;4;
72;6;
76;5;
83;10;
Andreia Santos;50;220;60;210;24;0100;
13;9;
20;6;
23;4;
24;10;
26;7;
33;10;
36;10;
37;3;
38;6;
43;5;
51;8;
56;9;
63;6;
74;3;
78;4;
80;2;
81;3;
82;9;
85;5;
89;10;
90;3;
92;3;
93;6;
100;8;
